model,auroc,aupr,sample_size,feature_size
RandomForest,0.727891156462585,0.3931689342403628,63,39
MLP,0.7346938775510203,0.6165223665223665,63,39
LogisticRegression,0.7551020408163265,0.4482683982683982,63,39
XGBoost,0.6598639455782312,0.3674036281179138,63,39
